TM,Actual,DoubleEncoderTransformer,Transformer,LSTM,GRU,CNN
2018-05-13 21:00:00,-0.66849977,-0.6912545,-0.66924363,-0.6681717,-0.6684669,-0.6550612
2018-05-13 22:00:00,-0.6689158,-0.6917114,-0.66964793,-0.6685465,-0.6688779,-0.6557019
2018-05-13 23:00:00,-0.6693381,-0.6921541,-0.6700387,-0.6689294,-0.6692911,-0.6563521
2018-05-14 00:00:00,-0.66977894,-0.6925954,-0.67044896,-0.6693677,-0.66972077,-0.65701866
2018-05-14 01:00:00,-0.67022985,-0.6930574,-0.6708918,-0.6698554,-0.670167,-0.6577053
2018-05-14 02:00:00,-0.670707,-0.69353056,-0.6713488,-0.6703477,-0.6706184,-0.65840125
2018-05-14 03:00:00,-0.6712007,-0.6940431,-0.67181927,-0.67080766,-0.67107725,-0.6591053
2018-05-14 04:00:00,-0.671699,-0.6945711,-0.6722849,-0.6712398,-0.67155325,-0.6598127
2018-05-14 05:00:00,-0.6722159,-0.6951127,-0.67274714,-0.671683,-0.6720506,-0.6605303
2018-05-14 06:00:00,-0.67273945,-0.6956587,-0.67323256,-0.6721709,-0.6725739,-0.66125035
2018-05-14 07:00:00,-0.67326075,-0.6962162,-0.6737446,-0.6727007,-0.673112,-0.6619762
2018-05-14 08:00:00,-0.6737983,-0.69675803,-0.6742642,-0.6732414,-0.67364764,-0.66269493
2018-05-14 09:00:00,-0.67434347,-0.69732887,-0.6748,-0.6737661,-0.67418355,-0.6634172
2018-05-14 10:00:00,-0.67488295,-0.69790006,-0.6753324,-0.67428094,-0.6747286,-0.66414297
2018-05-14 11:00:00,-0.6754358,-0.69847316,-0.67585325,-0.6748186,-0.6752851,-0.66488826
2018-05-14 12:00:00,-0.6760163,-0.6990516,-0.67638624,-0.6754028,-0.6758574,-0.6656402
2018-05-14 13:00:00,-0.67659146,-0.69965994,-0.6769533,-0.67602074,-0.67644703,-0.6664026
2018-05-14 14:00:00,-0.67717874,-0.7002517,-0.6775143,-0.6766355,-0.6770353,-0.6671434
2018-05-14 15:00:00,-0.67776805,-0.7008573,-0.6780781,-0.67722267,-0.6776211,-0.6678665
2018-05-14 16:00:00,-0.6783233,-0.7014654,-0.6786281,-0.67779225,-0.67820954,-0.6685699
2018-05-14 17:00:00,-0.6788914,-0.7020472,-0.6791512,-0.6783759,-0.67878854,-0.6692748
2018-05-14 18:00:00,-0.67949504,-0.7026487,-0.67970604,-0.67898554,-0.6793649,-0.66997594
2018-05-14 19:00:00,-0.68009615,-0.70328915,-0.68031263,-0.6795954,-0.6799525,-0.67068017
2018-05-14 20:00:00,-0.6806824,-0.70392674,-0.6809163,-0.6801757,-0.6805443,-0.67136335
2018-05-14 21:00:00,-0.68127435,-0.70454335,-0.6814953,-0.6807347,-0.6811354,-0.6720121
2018-05-14 22:00:00,-0.6818885,-0.7051672,-0.6820736,-0.6813142,-0.68173695,-0.67261946
2018-05-14 23:00:00,-0.6825135,-0.7058102,-0.6826827,-0.681945,-0.68236136,-0.6732003
2018-05-15 00:00:00,-0.68313575,-0.7064712,-0.68332285,-0.682613,-0.6829996,-0.6737739
2018-05-15 01:00:00,-0.6837505,-0.70713174,-0.6839671,-0.68327135,-0.683633,-0.6743455
2018-05-15 02:00:00,-0.68437696,-0.7077913,-0.68458384,-0.68388695,-0.68425125,-0.6749444
2018-05-15 03:00:00,-0.68500555,-0.70846283,-0.68518424,-0.68447286,-0.68487066,-0.67554986
2018-05-15 04:00:00,-0.68562436,-0.7091408,-0.68578506,-0.6850779,-0.6855041,-0.6761438
2018-05-15 05:00:00,-0.68625045,-0.709805,-0.6863842,-0.68573695,-0.6861446,-0.67664295
2018-05-15 06:00:00,-0.68687767,-0.71047556,-0.6870133,-0.6864292,-0.6867804,-0.6770949
2018-05-15 07:00:00,-0.68749744,-0.71114194,-0.6876615,-0.6870882,-0.6873975,-0.6774998
2018-05-15 08:00:00,-0.68809444,-0.71180385,-0.6883002,-0.68766326,-0.6879939,-0.67795634
2018-05-15 09:00:00,-0.6886613,-0.71244514,-0.68889236,-0.68817383,-0.68857884,-0.67844105
2018-05-15 10:00:00,-0.6892622,-0.71306133,-0.68945616,-0.6886988,-0.68916595,-0.67896163
2018-05-15 11:00:00,-0.68988556,-0.71370745,-0.6900805,-0.68930686,-0.6897855,-0.67946696
2018-05-15 12:00:00,-0.6905153,-0.7143794,-0.69074416,-0.68999636,-0.69043654,-0.6799988
2018-05-15 13:00:00,-0.69116944,-0.7150535,-0.6914133,-0.690704,-0.69109064,-0.68050396
2018-05-15 14:00:00,-0.6918398,-0.7157546,-0.6920992,-0.69136864,-0.6917447,-0.68100965
